date,round,team_id,team_name,p_win
2026-06-24,MD2,cape_verde,Cape Verde,0.0
2026-06-24,MD2,saudi_arabia,Saudi Arabia,0.0
2026-06-24,MD2,iraq,Iraq,0.0
2026-06-24,MD2,jordan,Jordan,0.0
2026-06-24,MD2,dr_congo,DR Congo,0.0
2026-06-24,MD2,uzbekistan,Uzbekistan,0.0
2026-06-24,MD2,ghana,Ghana,0.0
2026-06-24,MD2,panama,Panama,0.0
2026-06-28,Groups,argentina,Argentina,0.2889
2026-06-28,Groups,spain,Spain,0.1624
2026-06-28,Groups,france,France,0.1255
2026-06-28,Groups,england,England,0.1055
2026-06-28,Groups,brazil,Brazil,0.0635
2026-06-28,Groups,portugal,Portugal,0.0587
2026-06-28,Groups,germany,Germany,0.0384
2026-06-28,Groups,colombia,Colombia,0.0343
2026-06-28,Groups,netherlands,Netherlands,0.031
2026-06-28,Groups,belgium,Belgium,0.0186
2026-06-28,Groups,japan,Japan,0.0146
2026-06-28,Groups,morocco,Morocco,0.0135
2026-06-28,Groups,mexico,Mexico,0.0108
2026-06-28,Groups,united_states,United States,0.0079
2026-06-28,Groups,norway,Norway,0.0069
2026-06-28,Groups,switzerland,Switzerland,0.0065
2026-06-28,Groups,canada,Canada,0.0046
2026-06-28,Groups,senegal,Senegal,0.0019
2026-06-28,Groups,croatia,Croatia,0.0015
2026-06-28,Groups,ecuador,Ecuador,0.0013
2026-06-28,Groups,egypt,Egypt,0.0008
2026-06-28,Groups,australia,Australia,0.0008
2026-06-28,Groups,austria,Austria,0.0008
2026-06-28,Groups,ivory_coast,Ivory Coast,0.0006
2026-06-28,Groups,algeria,Algeria,0.0004
2026-06-28,Groups,paraguay,Paraguay,0.0001
2026-06-28,Groups,sweden,Sweden,0.0001
2026-06-28,Groups,dr_congo,DR Congo,0.0001
2026-06-28,Groups,ghana,Ghana,0.0001
2026-06-28,Groups,south_africa,South Africa,0.0
2026-06-28,Groups,south_korea,South Korea,0.0
2026-06-28,Groups,czech_republic,Czech Republic,0.0
2026-06-28,Groups,bosnia_and_herzegovina,Bosnia and Herzegovina,0.0
2026-06-28,Groups,qatar,Qatar,0.0
2026-06-28,Groups,haiti,Haiti,0.0
2026-06-28,Groups,scotland,Scotland,0.0
2026-06-28,Groups,turkey,Turkey,0.0
2026-06-28,Groups,curacao,Curacao,0.0
2026-06-28,Groups,tunisia,Tunisia,0.0
2026-06-28,Groups,iran,Iran,0.0
2026-06-28,Groups,new_zealand,New Zealand,0.0
2026-06-28,Groups,cape_verde,Cape Verde,0.0
2026-06-28,Groups,saudi_arabia,Saudi Arabia,0.0
2026-06-28,Groups,uruguay,Uruguay,0.0
2026-06-28,Groups,iraq,Iraq,0.0
2026-06-28,Groups,jordan,Jordan,0.0
2026-06-28,Groups,uzbekistan,Uzbekistan,0.0
2026-06-28,Groups,panama,Panama,0.0
2026-07-04,R32,argentina,Argentina,0.2583
2026-07-04,R32,france,France,0.2173
2026-07-04,R32,spain,Spain,0.1638
2026-07-04,R32,brazil,Brazil,0.0908
2026-07-04,R32,england,England,0.079
2026-07-04,R32,portugal,Portugal,0.0563
2026-07-04,R32,colombia,Colombia,0.0338
2026-07-04,R32,morocco,Morocco,0.0334
2026-07-04,R32,belgium,Belgium,0.0205
2026-07-04,R32,mexico,Mexico,0.0203
2026-07-04,R32,united_states,United States,0.008
2026-07-04,R32,switzerland,Switzerland,0.0072
2026-07-04,R32,norway,Norway,0.0058
2026-07-04,R32,canada,Canada,0.0043
2026-07-04,R32,egypt,Egypt,0.0007
2026-07-04,R32,paraguay,Paraguay,0.0004
2026-07-08,R16,argentina,Argentina,0.2896
2026-07-08,R16,spain,Spain,0.2566
2026-07-08,R16,france,France,0.2185
2026-07-08,R16,england,England,0.1533
2026-07-08,R16,morocco,Morocco,0.0285
2026-07-08,R16,belgium,Belgium,0.0237
2026-07-08,R16,norway,Norway,0.0183
2026-07-08,R16,switzerland,Switzerland,0.0114
2026-07-13,QF,france,France,0.3797
2026-07-13,QF,spain,Spain,0.2395
2026-07-13,QF,argentina,Argentina,0.2211
2026-07-13,QF,england,England,0.1598
2026-07-16,SF,spain,Spain,0.6574
2026-07-16,SF,argentina,Argentina,0.3426
2026-07-20,Final,spain,Spain,1.0
